ZIP,Count
50579,56.098
50581,49.405
50583,56.35
50585,62.017
50586,46.45
50588,53.171
50590,44.6
50591,49.4
50594,50.036
50595,55.496
50597,59.305
50598,50.851
50599,56.876
50601,52.768
50602,51.807
50603,47.948
50604,54.345
50606,47.714
50607,57.048
50609,57.968
50611,45
50612,118.063
50613,75.613
50616,52.85
50619,52.359
50621,68.982
50622,81.835
50624,82.94
50625,44.039
50626,56.149
50627,52.794
50628,54.853
50629,55.896
50630,52.368
50632,55.121
50633,49.781
50634,55.066
50635,57.55
50636,55.81
50638,61.006
50641,42.657
50642,52.116
50643,75.872
50644,57.673
50645,59.148
50647,65.799
50648,68.46
50650,51.474
50651,61.473
50653,50.569
50654,50.822
50655,50.589
50658,52.431
50659,63.576
50660,59.072
50662,44.852
50665,61.901
50666,50.533
50667,60.393
50668,59.078
50669,69.125
50670,55.231
50671,51.667
50672,60.204
50674,59.929
50675,54.75
50676,53.384
50677,68.039
50680,56.533
50681,49.01
50682,56.635
50701,61.946
50702,42.192
50703,35.58
50707,41.335
50801,49.585
50830,47.952
50833,45.485
50836,46.053
50837,42.96
50840,44.858
50841,49.157
50843,49.516
50845,47.569
50846,47.516
50848,41.7
50849,54.718
50851,48.731
50853,50.213
50854,48.339
50857,45.691
50858,43.697
50859,44.604
50860,31.827
50861,41.85
50864,49.186
51001,58.546
51002,60.531
51003,61.143
51004,51.306
51005,57.54
51006,50
51007,62.159
51010,49.575
51012,54.12
51014,65.532
51016,53.505
51018,49.665
51019,61.249
51020,65.727
51022,58.769
51023,49.964
51024,76.506
51025,63.991
51026,57.089
51027,61.302
51028,67.058
51029,48.793
51030,77.144
51031,64.731
51033,56.273
51034,50.262
51035,65.745
51036,64.841
51037,51.28
51038,57.236
51039,66.028
51040,54.444
51041,76.241
51044,45.6
51046,56.085
51047,51.679
51048,55.473
51049,44.523
51050,60.031
51052,58.172
51053,57.36
51054,69.354
51055,60.192
51056,49.59
51058,52.383
51060,44.425
51061,46.881
51062,54.535
51063,54.359
51101,42.038
51103,38.255
51104,56.909
51105,30.579
51106,57.327
51108,67.992
51109,43.812
51201,67.055
51230,60.876
51231,51.631
51232,47.314
51234,57.759
51235,62.166
51237,51.993
51238,72.163
51239,63.104
51240,62.018
51241,64.047
51242,82.943
51243,48.075
51245,64.695
51246,66.751
51247,76.981
51248,58.833
51249,53.438
51250,80.141
51301,62.526
51331,88.98
51333,50.596
51334,51.668
51338,57.469
51342,52.275
51343,46.708
51345,55.744
51346,57.259
51347,56.107
51350,47.833
51351,66.304
51354,53.55
51355,121.805
51357,55.607
51358,46.657
51360,73.66
51364,45.144
51365,48.169
51366,68.54
51401,65.69
51430,56.056
51431,54.076
51433,50.241
51436,69.376
51439,50.68
51440,48.606
51441,38.98
51442,50.394
51443,58.098
51444,52.457
51445,78.025
51446,54.144
51448,50.064
51449,53.719
51450,55.598
51453,51.783
51454,50.944
51455,57.57
51458,59.752
51461,61.764
51462,46.052
51463,69.493
51465,52.492
51466,60.827
51467,56.111
51501,40.408
51503,66.555
51510,46.698
51521,57.141
51523,52.767
51525,58.98
51526,70.816
51527,55.256
51528,49.149
51529,58.835
51530,49.5
51531,55.154
51532,54.315
51533,53.711
51534,69.117
51535,52.567
51536,50.443
51537,60.595
51540,63.811
51541,51.613
51542,72.154
51543,45.825
51544,51.417
51545,42.964
51546,61.739
51548,72.129
51549,57.61
51551,59.492
51552,57.409
51553,62.556
51555,59.994
51556,49.444
51557,53.158
51558,52.675
51559,64.474
51560,57.897
51561,63.585
51562,60.93
51563,51.273
51564,44.75
51565,64
51566,49.11
51570,52.078
51571,67.972
51572,49.731
51573,59.028
51575,73.935
51576,70.455
51577,64.446
51579,53.596
51601,51.402
51631,42.013
51632,53.306
51636,59.324
51638,53.032
51639,55.368
51640,55.284
51645,51
51646,47.231
51649,45.576
51650,46.786
51652,55.516
51653,57.012
51654,56.561
52001,46.839
52002,71.006
52003,93.044
52030,42.653
52031,62.288
52032,51.128
52033,67.465
52035,45.953
52037,61.141
52038,50.52
52039,63.174
52040,61.47
52041,53.817
52042,53.45
52043,62.239
52045,53.207
52046,58.655
52047,49.048
52048,40.575
27808,67.124
27809,46.497
27810,46.081
27812,42.174
27813,36.029
27814,52.642
27816,38.406
27817,54.066
27818,40.386
27819,32.589
27820,40.502
27821,30.442
27822,49.305
27823,32.413
27824,33.97
27826,41.25
27827,46.082
27828,47.333
27829,41.726
27830,41.685
27831,30.199
27832,35.186
27834,41.728
27837,64.299
27839,37.039
27840,37.158
27842,66.777
27843,35.309
27844,31.175
27845,38.135
27846,45.935
27847,28.615
27849,32.243
27850,55.038
27851,41.63
27852,45.882
27853,35.435
27855,38.945
27856,52.612
27857,37.148
27858,65.194
27860,44.41
27862,45.013
27863,47.257
27864,37.642
27865,48.418
27866,38.297
27869,32.067
27870,41.814
27871,35.674
27872,31.472
27873,31.372
27874,35.372
27875,41.076
27876,43.2
27878,29.887
27879,42.107
27880,57.171
27882,41.118
27883,39.124
27884,41.011
27885,42.429
27886,40.051
27888,37.049
27889,46.92
27890,32.656
27891,36.827
27892,41.446
27893,36.285
27896,65.813
27897,31.056
27909,45.426
27910,40.855
27915,47.286
27916,54.356
27917,29.058
27919,44.15
27920,45.685
27921,60.672
27922,37.394
27923,44.419
27924,39.057
27925,35.771
27926,47.343
27927,78.794
27928,38.053
27929,72.144
27932,51.941
27935,46.016
27936,48.856
27937,46.846
27938,44.184
27939,44.211
27941,58.842
27942,43.906
27943,48.635
27944,52.181
27946,52.812
27947,41.906
27948,49.821
27949,84.204
27950,52.445
27953,40.014
27954,56.167
27956,51.807
27957,46.224
27958,64.908
27959,69.7
27960,44.628
27962,38.947
27964,59.05
27965,39.204
27966,42.72
27967,30.371
27968,47.567
27970,39.546
27973,54.651
27974,47.738
27976,61.637
27979,47.224
27980,45.722
27981,46.288
27983,39.012
27986,41.014
28001,45.143
28006,51.66
28007,31.473
28009,37.202
28012,72.517
28016,40.404
28017,64.096
28018,45.596
28019,29.98
28020,39.577
28021,48.575
28023,49.494
28025,57.531
28027,68.703
28031,141.549
28032,97.78
28033,43.943
28034,45.035
28036,145.457
28037,98.826
28039,24.062
28040,40.716
28043,39.512
28052,34.036
28054,44.683
28056,64.603
28071,53.121
28072,48.842
28073,35.653
28075,85.773
28076,28.105
28077,33.135
28078,93.687
28079,64.293
28080,59.891
28081,49.406
28083,38.391
28086,45.029
28088,43.867
28089,48.546
28090,41.434
28091,34.12
28092,46.5
28097,57.338
28098,43.308
28101,70.114
28103,49.455
28104,111.792
28105,75.726
28107,61.886
28108,59.1
28109,42.636
28110,52.722
28112,47.847
28114,40.442
28115,59.064
28117,119.848
28119,29.085
28120,58.897
28124,55.689
28125,60.97
28127,69.139
28128,48.501
28129,56.334
28133,47.447
28134,56.244
28135,39.318
28137,49.276
28138,49.591
28139,49.123
28144,51.909
28146,50.608
28147,45.844
28150,48.541
28152,41.344
28159,35.68
28160,32.413
28163,55.414
28164,62.497
28166,63.497
28167,49.549
28168,44.696
28169,36.606
28170,35.516
28173,141.556
28174,41.124
28202,103.018
28203,110.433
28204,94.268
28205,53.761
28206,30.014
28207,453.218
28208,29.731
28209,117.025
28210,104.359
28211,198.907
28212,31.3
28213,38.169
28214,47.188
28215,39.778
28216,41.819
28217,37.315
28226,143.973
28227,54.541
28262,46.191
28269,54.823
28270,113.875
28273,47.677
28277,122.864
28278,87.406
28301,30.55
28303,53.939
28304,41.926
28305,83.855
28306,50.315
28307,39.945
28308,19.073
28311,48.574
28312,53.476
28314,40.16
28315,46.081
28318,44.253
28320,41.939
28323,46.599
28325,45.27
28326,47.617
28327,58.414
28328,43.638
28330,30.756
28332,36.453
28333,32.61
28334,46.128
28337,45.151
28338,38.114
28339,39.102
28340,32.319
28341,40.443
28342,47.791
28343,32.021
28344,39.863
28345,36.314
28347,28.039
28348,46.853
28349,46.556
28350,38.717
28351,34.289
28352,40.014
28356,52.751
28357,37.516
28358,41.828
28360,35.818
28363,35.368
28364,32.018
28365,41.441
28366,46.897
28367,27.12
28369,31.949
28371,40.821
28372,38.1
28373,41.604
28374,108.438
28375,40.392
28376,43.318
28377,32.351
28379,39.734
28382,40.829
28383,32.899
28384,35.593
28385,40.609
28386,29.805
28387,73.739
28390,41.502
28391,51.63
28392,40.688
28393,38.84
28394,58.415
1001,56.383
1002,84.212
1003,14.324
1005,58.157
1007,73.439
1008,64.921
1009,47.051
1010,71.212
1011,52.408
1012,72.534
1013,40.873
1020,47.409
1022,44.747
1026,53.161
1027,58.139
1028,87.447
1029,80.625
1030,64.657
1031,46.772
1032,59.462
1033,66.513
1034,69.503
1035,70.628
1036,85.812
1037,71.069
1038,73.435
1039,71.999
1040,43.005
1050,57.795
1053,70.211
1054,89.105
1056,60.275
1057,63.655
1060,75.646
1062,76.356
1066,59.71
1068,71.947
1069,57.688
1070,47.819
1071,56.629
1072,65.92
1073,79.009
1074,39.052
1075,70.71
1077,78.175
1079,46.136
1080,42.756
1081,52.864
1082,52.288
1083,50.425
1085,62.039
1088,55.427
1089,58.963
1092,49.64
1093,79.968
1094,55.673
1095,96.212
1096,73.822
1098,64.729
1103,37.429
1104,34.529
1105,23.407
1106,161.463
1107,31.121
1108,36.197
1109,31.533
1118,50.328
1119,42.874
1128,58.021
1129,49.12
1151,33.401
1201,54.027
1220,46.586
1222,47.75
1223,60.704
1225,59.158
1226,65.342
1230,75.378
1235,59.795
1236,56.463
1237,61.367
1238,58.024
1240,94.013
1242,51.703
1243,75.929
1244,86.406
1245,71.36
1247,41.866
1253,67.793
1254,109.9
1255,53.194
1256,51.284
1257,67.437
1258,83.168
1259,63.435
1260,48.62
1262,90.378
1264,90.03
1266,91.426
1267,104.395
1270,65.379
1301,50.57
1330,70.449
1331,48.18
1337,60.296
1338,56.75
1339,51.079
1340,52.199
1341,90.395
1342,69.61
1344,49.323
1346,50.372
1349,49.19
1351,59.208
1354,58.87
1355,57.874
1360,58.703
1364,45.82
1366,69.105
1367,48.87
1368,59.975
1370,54.99
1373,72.279
1375,59.24
1376,41.796
1378,48.031
1379,47.04
1420,45.672
1430,69.764
1431,66.586
1432,69.06
1434,93.871
1436,55.332
1438,49.738
1440,48.004
1450,152.253
1451,183.788
1452,69.5
1453,57.657
1460,106.652
1462,78.677
1463,79.261
1464,70.991
1467,153.564
1468,61.768
1469,69.603
1473,77.312
1474,69.089
1475,51.833
1501,68.068
1503,97.735
1504,64.508
1505,110.97
1506,63.135
1507,76.686
1510,57.421
1515,64.841
1516,76.642
1518,97.127
1519,122.112
1520,92.958
1521,68.997
1522,79.642
1523,93.028
1524,64.363
1525,45.852
1527,66.915
1529,66.264
1531,66.186
1532,111.925
1534,80.866
1535,58.051
1536,103.785
1537,57.799
1540,61.958
1541,108.415
1542,64.444
1543,78.343
1545,114.272
1550,43.81
1560,82.181
1561,56.312
1562,58.801
1564,93.305
1566,86.939
1568,112.705
1569,74.393
1570,53.549
1571,61.635
1581,123.941
1583,76.416
1585,66.661
1588,67.228
1590,104.672
1602,59.198
1603,40.727
1604,47.238
1605,44.025
1606,58.213
1607,42.028
1608,39.992
1609,75.507
1610,29.97
1611,50.686
1612,87.219
1701,97.669
1702,58.525
1718,93.191
1719,131.908
1720,156.815
1721,99.093
1730,142.003
1731,61.775
1740,156.587
1741,239.731
1742,275.815
1745,99.535
1746,118.618
1747,83.12
1748,182.105
1749,75.528
1752,73.339
1754,78.439
1756,116.994
1757,71.723
1760,118.148
1770,355.685
1772,215.208
1773,335.081
1775,138.227
1776,246.887
1778,311.566
1801,75.818
1803,96.703
1810,172.594
1821,75.732
1824,120.58
1826,67.308
1827,117.521
1830,56.925
1832,54.922
1833,105.824
1834,83.535
1835,66.702
1840,26.7
1841,28.918
1843,37.058
1844,59.233
1845,121.081
1850,40.449
1851,44.85
1852,51.596
1854,44.416
1860,77.789
1862,77.712
1863,76.024
1864,117.821
1867,124.985
1876,79.87
1879,86.151
1880,92.783
1886,130.087
1887,88.117
1890,233.886
1901,35.172
1902,38.634
1904,59.99
1905,41.881
1906,68.449
1907,142.106
1908,118.387
1913,74.522
1915,90.699
1921,207.067
1922,110.55
1923,82.102
1929,110.258
1930,76.58
1938,101.904
1940,151.724
1944,273.58
1945,168.675
1949,119.686
1950,116.242
1951,143.411
1952,63.477
1960,65.537
1966,92.651
1969,95.316
1970,60.734
1982,177.036
1983,158.148
1984,189.395
1985,143.809
2019,71.135
2021,118.227
2025,265.804
2026,110.349
2030,467.137
2032,107.255
52049,50.579
52050,44.661
52052,51.436
52053,49.546
52054,54.588
52057,57.489
52060,47.641
52064,49.879
52065,53.612
52068,87.34
52069,52.384
52070,55.249
52072,49.717
52073,55.217
52074,44.7
52076,50.651
52077,42.044
52078,56.192
52079,50.95
52101,65.087
52132,53.275
52133,44.1
52134,46.683
52135,48.511
52136,51.864
52140,51.854
52141,53.25
52142,52.769
52144,56.284
52146,51.095
52147,45.504
52151,50.288
52154,54.176
52155,50.259
52156,51.097
52157,49.856
52158,44.24
52159,52.67
52160,56.584
52161,54.173
52162,42.694
52163,50.06
52165,48.762
52168,45.257
52169,46.106
52170,59.7
52171,50.336
52172,49.659
52175,51.616
52201,56.843
52202,61.575
52203,69.707
52205,58.934
52206,77.483
52207,46.641
52208,50.318
52209,57.475
52210,53.1
52211,58.895
52212,44.807
52213,70.969
52214,61.487
52215,47.228
52216,53.283
52217,45.392
52218,61.052
52220,61.436
52222,49.15
52223,56.3
52224,64.465
52225,47.729
52227,81.355
52228,76.376
52229,56.826
52231,50.129
52233,58.066
52235,53.798
52236,59.672
52237,48.801
52240,61.13
52241,75.278
52242,7.248
52245,82.789
52246,76.342
52247,57.367
52248,58.461
52249,60.585
52251,47.917
52253,64.866
52254,43.933
52255,54.893
52257,53.369
52301,51.802
52302,70.615
52305,61.642
52306,53.933
52309,42.911
52310,56.793
52313,52.353
52314,77.675